Sep=;
DNS Ip; hostname; DNS Organization; whoami 'ns'; ns location; ns distance; whoami 'ecs'; whoami 'ip'; Akamai Edge; Akamai Edge Location; Akamai Edge Distance; Akamai Edge Pretransfer; Netflix Edge; Netflix Edge Location; Netflix Edge Distance; Netflix Edge Pretransfer; Youtube Edge; Youtube Edge Location; Youtube Edge Distance; Youtube Edge Pretransfer
81.26.228.3; ns10.bredband.com;  AS2119 Telenor Norge AS; ; ; ; ; ; N/A; ; ; ; N/A; ; ; ; N/A; ; ; 
83.137.225.121; res2.sotaconnect.net;  AS31742 Sota Solutions Ltd.; 83.137.225.121;  London, GB; 14; ; ; 104.86.129.208;  London,GB; 11; 128.3; 54.246.79.9;  Dublin,IE; 28; 118.2; 142.250.179.238;  London, GB; 22; 121.8
84.200.69.80; null;  AS31400 diva-e Datacenters GmbH; 84.200.69.80;  Frankfurt am Main, DE; 10; ; ; 23.79.135.153;  Frankfurt am Main, DE; 9; 60.2; 54.73.148.110;  Dublin,IE; 28; 120.0; 142.250.185.110;  Mountain View,US; 20; 126.8
84.200.69.80; null;  AS31400 diva-e Datacenters GmbH; 84.200.69.80;  Frankfurt am Main, DE; 10; ; ; 23.79.135.153;  Frankfurt am Main, DE; 9; 60.2; 54.73.148.110;  Dublin,IE; 28; 120.0; 142.250.185.110;  Mountain View,US; 20; 126.8
84.200.70.40; null;  AS31400 diva-e Datacenters GmbH; 84.200.70.40;  Frankfurt am Main, DE; 10; ; ; 23.79.135.153;  Frankfurt am Main, DE; 9; 60.2; 18.200.8.190;  Dublin,IE; 27; 120.1; 216.58.206.238;  London, GB; 22; 110.5
85.119.136.158; 85-119-136-158.telio.no;  AS35157 NEXTGENTEL HOLDING ASA; 85.119.136.158;  Oslo, NO; 16; ; ; 96.6.18.185;  Oslo, NO; 12; 75.8; 52.3.144.142;  Ashburn, US; 38; 223.8; 172.217.21.174;  Mountain View,US; 14; 70.3
87.96.144.179; h87-96-144-179.cust.a3fiber.se;  AS45011 A3 Sverige AB; 85.8.9.164;  Sollentuna, SE; 12; ; ; 23.32.108.33;  Stockholm,SE; 12; 46.8; 54.170.196.176;  Dublin,IE; 28; 152.0; 172.217.21.142;  Mountain View,US; 14; 110.9
9.9.9.11; dns11.quad9.net;  AS19281 Quad9; 74.63.24.240;  Frankfurt am Main, DE; 9; 155.4.129.0/24/24; 74.63.24.240; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 54.74.73.31;  Dublin,IE; 28; 143.2; 172.217.21.142;  Mountain View,US; 14; 110.9
9.9.9.9; dns9.quad9.net;  AS19281 Quad9; 203.23.178.40;  Frankfurt am Main, DE; 12; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 54.155.178.5;  Dublin,IE; 28; 124.9; 142.250.186.110;  Frankfurt am Main,DE; 20; 142.2
9.9.9.9; dns9.quad9.net;  AS19281 Quad9; 203.23.178.40;  Frankfurt am Main, DE; 12; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 54.155.178.5;  Dublin,IE; 28; 124.9; 142.250.186.110;  Frankfurt am Main,DE; 20; 142.2
91.239.100.100; anycast.censurfridns.dk;  AS198794 Thomas Steen Rasmussen; 130.225.244.166;  Copenhagen, DK; 9; ; ; 23.78.61.14;  Ballerup,DK; 11; 141.4; 3.211.157.115;  Ashburn,US; 37; 737.8; 172.217.22.174;  Mountain View,US; 14; 81.9
94.140.14.14; dns.adguard.com;  AS212772 AdGuard Software Limited; 195.181.166.166;  Stockholm, SE; 12; ; ; 2.22.3.60;  Stockholm,SE; 13; 175.0; 52.3.144.142;  Ashburn, US; 38; 223.8; 108.177.126.93;  Amsterdam, NL; 28; 1021.3
95.216.212.177; fi1.blahdns.com;  AS24940 Hetzner Online GmbH; ; ; ; ; ; N/A; ; ; ; N/A; ; ; ; N/A; ; ; 
95.216.24.230; null;  AS24940 Hetzner Online GmbH; ; ; ; ; ; N/A; ; ; ; N/A; ; ; ; N/A; ; ; 
